loja_sync,sku,produto,custo,preco,imposto,updated_at
JK Peças,322-SRAM-34,,50.35,,20.00,27/05/2026 08:39
JK Peças,322-SRAM-32,,50.35,,20.00,27/05/2026 08:39
JK Peças,322-SRAM-30,,50.35,,20.00,27/05/2026 08:39
JK Peças,322-94/96-38-O,,27.53,,20.00,27/05/2026 08:39
JK Peças,322-94/96-36-O,,27.53,,20.00,27/05/2026 08:39
JK Peças,322-94/96-34-O,,27.53,,20.00,27/05/2026 08:39
JK Peças,322-94/96-32-O,,27.53,,20.00,27/05/2026 08:39
JK Peças,322-94/96-38,,26.42,,20.00,27/05/2026 08:39
JK Peças,322-94/96-36,,26.42,,20.00,27/05/2026 08:39
JK Peças,322-94/96-34,,26.42,,20.00,27/05/2026 08:39
JK Peças,322-94/96-32,,26.42,,20.00,27/05/2026 08:39
JK Peças,322-104-38-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,322-104-36-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,322-104-34-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,322-104-32-O,,26.63,,20.00,27/05/2026 08:39
JK Peças,322-104-38,,23.89,,20.00,27/05/2026 08:39
JK Peças,322-104-36,,23.89,,20.00,27/05/2026 08:39
JK Peças,322-104-34,,23.89,,20.00,27/05/2026 08:39
JK Peças,322-104-32,,23.89,,20.00,27/05/2026 08:39
JK Peças,21,,11.24,,24.00,27/05/2026 08:39
JK Peças,188,,0.00,,0.00,27/05/2026 08:39
JK Peças,331-1-k,,17.00,,24.00,27/05/2026 08:39
JK Peças,331-1,,8.50,,24.00,27/05/2026 08:39
JK Peças,307-2,,22.20,,24.00,27/05/2026 08:39
JK Peças,307-1,,120.80,,24.00,27/05/2026 08:39
JK Peças,307-K,,143.00,,24.00,27/05/2026 08:39
JK Peças,373,,226.49,,24.00,27/05/2026 08:39
JK Peças,157-K4,,79.85,,24.00,27/05/2026 08:39
JK Peças,157,,0.00,,0.00,27/05/2026 08:39
JK Peças,473,,29.70,,24.00,27/05/2026 08:39
JK Peças,427-1,,0.00,,0.00,27/05/2026 08:39
JK Peças,239-,,0.00,,0.00,27/05/2026 08:39
JK Peças,25-1,,0.00,,0.00,27/05/2026 08:39
JK Peças,227-275-5,,0.00,,0.00,27/05/2026 08:39
JK Peças,2274-1,,0.00,,0.00,27/05/2026 08:39
JK Peças,"008,",,0.00,,0.00,27/05/2026 08:39
JK Peças,98-1,,0.00,,0.00,27/05/2026 08:39
JK Peças,422-K,,18.38,,24.00,27/05/2026 08:39
JK Peças,257-1,,0.00,,0.00,27/05/2026 08:39
JK Peças,393-2,,5.30,,24.00,27/05/2026 08:39
JK Peças,"393-2,",,0.00,,0.00,27/05/2026 08:39
JK Peças,394-2,,6.59,,0.00,27/05/2026 08:39
JK Peças,458-4,,0.00,,0.00,27/05/2026 08:39
JK Peças,4-2,,0.00,,0.00,27/05/2026 08:39
JK Peças,412-9,,149.46,,24.00,27/05/2026 08:39
JK Peças,412-8,,149.46,,24.00,27/05/2026 08:39
JK Peças,412-7,,149.46,,24.00,27/05/2026 08:39
JK Peças,458-K3,,242.54,,24.00,27/05/2026 08:39
JK Peças,458-3,,24.01,,24.00,27/05/2026 08:39
JK Peças,194-K,,10.92,,24.00,27/05/2026 08:39
JK Peças,31966,,0.00,,0.00,27/05/2026 08:39
JK Peças,102,,0.00,,0.00,27/05/2026 08:39
JK Peças,9966,,0.00,,0.00,27/05/2026 08:39
JK Peças,19,,0.00,,0.00,27/05/2026 08:39
JK Peças,298-K,,6.21,,24.00,27/05/2026 08:39
JK Peças,297-K,,5.93,,24.00,27/05/2026 08:39
JK Peças,420,,0.00,,0.00,27/05/2026 08:39
JK Peças,350-1,,0.00,,24.00,27/05/2026 08:39
JK Peças,127-17,,81.12,,24.00,27/05/2026 08:39
JK Peças,127-9,,81.12,,24.00,27/05/2026 08:39
JK Peças,332,,7.43,,24.00,27/05/2026 08:39
JK Peças,289,,256.06,,24.00,27/05/2026 08:39
JK Peças,306-2-K,,12.46,,24.00,27/05/2026 08:39
JK Peças,332-K,,14.86,,24.00,27/05/2026 08:39
JK Peças,464-K10,,146.80,,24.00,27/05/2026 08:39
JK Peças,464-K5,,73.40,,24.00,27/05/2026 08:39
JK Peças,464-K3,,44.04,,24.00,27/05/2026 08:39
JK Peças,464-K,,29.36,,24.00,27/05/2026 08:39
JK Peças,94-2,,92.45,,24.00,27/05/2026 08:39
JK Peças,152,,26.23,,24.00,27/05/2026 08:39
JK Peças,444-K3-2,,44.71,,24.00,27/05/2026 08:39
