arquivo,sku,nome,produto_bling,ncm,categoria_anterior,categoria_nova,regra_pis_cofins
info\000002\cadastro_produtos.csv,214,"Ignition Switch
Cardboard box",Comutador De Ignição 931102d000,8535.30.19,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,218,Digital laser level and square meter,Esquadro Digital Laser Grau Laser Nível Horizontal Vertical,9017.20.00,Medidor de nivel para construção em geral,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,222-K,Pair of rear warning lights for the vehicle,Pisca Seta Retrovisor Carona Motorista Lado (Par Direito esquerdo),8539.90.90,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,223,Vehicle fuel level sensor,Sensor Nível Boia De Combustível Hyundai Ix-35 Gasolina,9026.90.10,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,225,Canister valve 0280142431,Válvula Canister  06h906517b 0280142459,8414.90.34,Manutenção automotiva,"Válvulas, registros e conexões",geral_2_10_10_25
info\000002\cadastro_produtos.csv,228,Motorcycle LED Signal Strip,Farol Lanterna Traseira Pisca Moto Custom Race Fita 48 Leds,8539.90.90,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,236,Vehicle fan resistance,Resistência Ventoinha 9673999980,8533.21.90,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,241,Motorcycle Phone Holder with USB Switch,Suporte Celular BMW Gps R 1200 R 1250 Gs F 850 F 800,8504.40.10,Suporte de celular para motos,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,241-1,Mobile phone holder with and wireless changer,Suporte Celular BMW Gs1200 1250 F850 Xr 1000 Por Indução,8504.40.10,Suporte de celular para motos,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,248,Vehicle speed sensor with gear,Sensor Velocidade 2501074p01,9029.90.10,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,256,Foam water gun,Snow Foam Esguicho Shampoozeira Lavagem Cera Reservatório,8424.82.29,Pistola de água,"Máquinas, ferramentas e equipamentos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,272,Vehicle Engine Balancer Shaft Sieve Filter,Filtro Peneira Eixo Balanceador,9604.00.00,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,272-K4,Vehicle Engine Balancer Shaft Sieve Filter,Filtro Peneira Eixo Balanceador (4pçs),9604.00.00,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,272-K8,Vehicle Engine Balancer Shaft Sieve Filter,Filtro Peneira Eixo Balanceador (8pçs),9604.00.00,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,274,Vehicle air conditioning temperature sensor,Sensor Temperatura Ar Condicionado 97143-1m000,9032.89.82,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,277,Vehicle engine air intake hosw,Mangueira Filtro Ar Tbi 2710900982 2710900682,4009.31.00,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,278,Vehicle engine air intake hose,Mangueira De Entrada De Ar 2700900382,4009.31.00,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,279,Vehicle engine air intake hose,Mangueira De Entrada De Ar Mercedes A200 B200 Cla E Gla,4009.31.00,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,280,Retainer for vehicle valve control,Retentor Do Comando De Valvulas 55563374,4016.93.00,Manutenção automotiva,"Válvulas, registros e conexões",geral_2_10_10_25
info\000002\cadastro_produtos.csv,280-K,,Retentor Do Comando De Valvulas 55563374 2un,4016.93.00,"V?lvulas, registros e conex?es","Válvulas, registros e conexões",geral_2_10_10_25
info\000002\cadastro_produtos.csv,282,Hub lock actuator for vehicle,Roda Fonica Ssangyong Actyon Kyron Rexton Korando 4151009000,8543.20.00,Manutenção automotiva,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,291,Vehicle battery fuse board,Placa De Fusíveis Bateria Peugeot 3008 C4 Picasso 6500gr,8535.10.00,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,294,Turbine oil return pipe 037979,Tubo Cano Óleo Retorno Turbina Peugeot Thp 1613571980 037989,4009.32.90,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,295,Vehicle vacuum pump,Bomba De Vácuo Para Peugeot E Citroen Thp 1.6 16v Turbo 3008,8414.10.00,Manutenção automotiva,"Bombas, hidráulica e circulação de líquidos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,297-K,Pair Front windshield washer nozzle,Par Esguicho Agua Brucutu Cruze 2012 2013 2014 2015 2016,8424.90.90,Manutenção automotiva,"Máquinas, ferramentas e equipamentos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,306-10-K,,Led Parafuso Olho De Águia Carro Moto 23mm - 1 Par Cor: Prata,8539.21.10,Componentes el?tricos e ilumina??o,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,306-2-K,,Led Parafuso Olho De Águia Carro Moto 23mm - 1 Par Cor: Preto,8539.21.10,Componentes el?tricos e ilumina??o,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,31-A,Air duct diffuser for Mitsubishi Lancer,Difusor Duto Ar Mitsubishi Lancer Cor: Preto Esquerdo Lateral,8516.90.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,31-B,Air duct diffuser for Mitsubishi Lancer,Difusor Duto Ar Mitsubishi Lancer Cor: Preto Esquerdo Medial,8516.90.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,31-C,Air duct diffuser for Mitsubishi Lancer,Difusor Duto Ar Mitsubishi Lancer Cor: Preto Direito Medial,8516.90.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,31-D,Air duct diffuser for Mitsubishi Lancer,Difusor Duto Ar Mitsubishi Lancer Cor: Preto Direito Lateral,8516.90.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,310,Vehicle Air Flow Meter,Medidor Fluxo Ar 13800-65D00,9026.90.10,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,319,Hydraulic Actuator Cylinder for vehicle,Cilindro Atuador Hidráulico Embreagem Meriva Easytronic,8412.31.10,Manutenção automotiva,"Bombas, hidráulica e circulação de líquidos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,320,Pair of vehicle lamps 35W 12V 6000k D1S Fitting.,Par Lâmpada Xenon Hid D1s 6000k,8539.90.90,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-32,Bicycle Chainring 104 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 32T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-32-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 32T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-34,Bicycle Chainring 104 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 34T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-34-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 34T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-36,Bicycle Chainring 104 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 36T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-36-O,Oval Bicycle Chainring 96 BCD 32-38T,Coroa Unica OVAL 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 36T-OVAL,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,D104-38,Bicycle Chainring 104 BCD 32-38T,Coroa Unica 32 34 36 38 Dentes Narrow Wide Bcd 104mm Tamanho: 38T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
