sku,mlb_principal,mlb_ids,qtd_anuncios_mlb
246,MLB1960550832,MLB1960550832|MLB1960560520,2.0
248,,,
250-1,,,
250-2,MLB2070880558,MLB2070880558|MLB3279320197|MLB3438472595,3.0
250-K,,,
251,MLB2069158192,MLB2069158192|MLB3006387706|MLB3379329771|MLB3576238175|MLB4165369732,5.0
252-1,MLB2064402990,MLB2064402990|MLB2915600373|MLB3892173916,3.0
252-2,MLB2064402995,MLB2064402995,1.0
252-K,MLB2064415567,MLB2064415567|MLB3287683073|MLB3467687640,3.0
254-1,,,
254-1-CONEXÃO,,,
254-1-REFIL,,,
254-1-TUBO,,,
254-3,,,
256,MLB2044178742,MLB2044178742|MLB3033139250|MLB3081508110|MLB3081705456|MLB3377290785|MLB3386957411|MLB4057913998|MLB4060785769|MLB5394878926,9.0
257,MLB2041002449,MLB2041002449|MLB2041007475|MLB2041045955|MLB3006620220|MLB3935451177,5.0
257-1,,,
258,,,
259,,,
264,,,
268,,,
27-1,-,-,1.0
27-2,-,-,1.0
27-K,MLB1985658166,MLB1985658166|MLB2042391071,2.0
27/FEV,,,
27/JAN,,,
272,,,
272-K4,,,
272-K8,,,
273,MLB1971107441,MLB1971107441|MLB1971120417|MLB3006767607|MLB4397783000,4.0
274,,,
275-19,MLB2986735609,MLB2986735609|MLB5996894230,2.0
275-5,MLB1971104633,MLB1971104633|MLB3288374879,2.0
276,MLB1961932123,MLB1961932123,1.0
277,,,
278,MLB1960412973,MLB1960412973|MLB1960417346|MLB1960422165|MLB3022189347|MLB3022302274,5.0
279,MLB2030860768,MLB2030860768|MLB3601910705,2.0
280,MLB1961850617,MLB1961850617|MLB1961852000|MLB2926088479|MLB3596218285,4.0
280-K,MLB3922851097,MLB3922851097|MLB4848986660|MLB5202483004,3.0
281,,,
282,,,
285,MLB4113974573,MLB4113974573,1.0
286,MLB1984439649,MLB1984439649|MLB1984448244|MLB1984448319|MLB1984448321|MLB3565129843|MLB3602661979|MLB5113786214,7.0
287,,,
289,MLB1978126939,MLB1978126939,1.0
290,MLB1986895010,MLB1986895010|MLB1986900887|MLB1986900888|MLB3265912775|MLB3347878458|MLB3457840421,6.0
291,,,
291-1,MLB3298324219,MLB3298324219|MLB3298348397|MLB3298372667|MLB3355639123|MLB3525625844,5.0
292,MLB2030919286,MLB2030919286|MLB3727614849|MLB4068455831,3.0
294,,,
295,MLB1984386684,MLB1984386684|MLB1984394218|MLB4359755620|MLB4359774366,4.0
297,,,
297-K,,,
298,,,
298-K,MLB4103721403,MLB4103721403|MLB5453739958|MLB5453919846,3.0
299-1,-,-,1.0
299-2,-,-,1.0
303,,,
306-10-K,,,
306-2-K,,,
307,,,
307-1,,,
307-2,MLB3885091347,MLB3885091347|MLB3885272231|MLB3885317533,3.0
307-K,,,
308,,,
308-1,,,
309.1,MLB4487060683,MLB4487060683|MLB6301388104|MLB6301657494,3.0
31-A,,,
31-B,,,
31-C,,,
31-D,,,
310,MLB3361987231,MLB3361987231|MLB3582691365|MLB3962309413|MLB4103999719,4.0
312,MLB2031818180,MLB2031818180|MLB3565991557,2.0
313,MLB2039755990,MLB2039755990|MLB2039775254|MLB3031977976,3.0
314,,,
314-K,,,
315,,,
315-K,,,
316,MLB2063101460,MLB2063101460|MLB2063120868|MLB3032604721|MLB4362495004|MLB4362573546,5.0
318,MLB2065150709,MLB2065150709|MLB3032696999|MLB3032760921|MLB4362687096|MLB4362766994,5.0
319,MLB2059442581,MLB2059442581|MLB2059448896|MLB3568256741,3.0
032,,,
32-K,,,
320,,,
320-1,,,
321-1,,,
321-2,,,
321-K,,,
322-104-32,,,
322-104-32-O,,,
322-104-34,,,
322-104-34-O,,,
322-104-36,,,
322-104-36-O,,,
322-104-38,,,
322-104-38-O,,,
322-104-40,,,
322-104-42,,,
322-104-44,,,
322-104-46,,,
322-104-48,,,
322-104-50,,,
322-104-52,,,
322-94/96-32,,,
322-94/96-32-O,,,
322-94/96-34,,,
322-94/96-34-O,,,
322-94/96-36,,,
322-94/96-36-O,,,
322-94/96-38,,,
322-94/96-38-O,,,
322-96A-32,,,
322-96A-32-O,,,
322-96A-34,,,
322-96A-34-O,,,
322-96A-36,,,
322-96A-36-O,,,
322-96A-38,,,
322-96A-38-O,,,
322-GC-03,,,
322-GC-05,,,
322-GC-BB,,,
322-SHI-30,,,
322-SHI-32,,,
322-SHI-34,,,
322-SHI-36,,,
322-SHI-38,,,
322-SRAM-30,,,
322-SRAM-32,,,
322-SRAM-34,,,
322-SRAM-36,,,
322-SRAM-38,,,
324,MLB2074931217,MLB2074931217|MLB3737462448|MLB4056151659,3.0
325-1,,,
325-2,,,
326,MLB2063178138,MLB2063178138|MLB2063191042,2.0
327,MLB2068135950,MLB2068135950|MLB3036134540|MLB4369968520,3.0
033,,,
331,MLB2142097223,MLB2142097223,1.0
331-1,,,
331-1-K,,,
331-K,MLB2121802426,MLB2121802426,1.0
332,,,
332-K,,,
333,MLB2121775728,MLB2121775728,1.0
333-K,MLB2121794656,MLB2121794656,1.0
336,MLB4518818693,MLB4518818693|MLB4518880769|MLB6433811960,3.0
337,,,
341,MLB2079306227,MLB2079306227|MLB2079312589|MLB2079332047,3.0
342,MLB2081890398,MLB2081890398|MLB2991319103|MLB3042268759|MLB3548384971|MLB4312453416|MLB4379616141,6.0
343,MLB2087066503,MLB2087066503|MLB5619478228|MLB5841178986,3.0
344,MLB2103639726,MLB2103639726|MLB3243093717|MLB3243118011,3.0
344-K,MLB2103621703,MLB2103621703,1.0
345,,,
346,MLB2120234033,MLB2120234033|MLB4411212850,2.0
347,MLB2103546858,MLB2103546858|MLB5266062134|MLB5266087708,3.0
349,MLB2113076838,MLB2113076838|MLB3583863743,2.0
035,,,
350-1,MLB2077459394,MLB2077459394|MLB3558151207,2.0
351,,,
352,MLB2121300018,MLB2121300018|MLB2121300019|MLB2121318800|MLB3079660599|MLB3079691929,5.0
353,,,
354,MLB2116318330,MLB2116318330|MLB2116324585|MLB2116337476|MLB3076878592|MLB3076885083,5.0
355,,,
357,MLB2127140953,MLB2127140953|MLB2127160487|MLB3584436853|MLB3584541045,4.0
358,MLB3438431953,MLB3438431953|MLB3866615819|MLB3899732231|MLB4106425531,4.0
360,MLB2108564402,MLB2108564402|MLB2108564404|MLB2108581259|MLB4006302981,4.0
361,MLB2152568189,MLB2152568189|MLB2152605963|MLB2152622019|MLB3287240077|MLB4233190554|MLB4233340414,6.0
362,,,
363,MLB2131159219,MLB2131159219|MLB2131178655|MLB4373163012|MLB4498882640,4.0
364,,,
364-1,-,-|MLB4266161825,2.0
364-2,-,-,1.0
364-3,-,-,1.0
364-4,-,-,1.0
365,,,
366,,,
367,,,
367-K,,,
368,,,
369,MLB2139730005,MLB2139730005|MLB3569981471|MLB4007049949,3.0
037,MLB1985747751,MLB1985747751|MLB1985755395|MLB3556439077,3.0
371,MLB2170238955,MLB2170238955|MLB2170257124|MLB4375783552|MLB4375795068,4.0
372,,,
373,MLB2162495353,MLB2162495353|MLB6142218880|MLB6142841484,3.0
374-1,-,-,1.0
374-2,-,-,1.0
374-K,MLB2158551122,MLB2158551122|MLB2158557475|MLB3943739679,3.0
375-1,-,-,1.0
375-2,-,-,1.0
375-K,,,
376,,,
377-2,-,-,1.0
377-4,-,-,1.0
377-4-K,MLB2176999312,MLB2176999312|MLB3585879941|MLB4775238928|MLB4775303244,4.0
377-4K,,,
379,,,
379-1,MLB2162528000,MLB2162528000|MLB3287567729|MLB5374329122,3.0
379-2,,,
379-3,,,
379-4,,,
379-5,,,
380,MLB2179970413,MLB2179970413|MLB2179982700|MLB2179988899|MLB2180006875|MLB3374664285,5.0
381,MLB4354242764,MLB4354242764,1.0
382,,,
384,MLB2696135527,MLB2696135527|MLB2696135528|MLB2696185988|MLB3125546946|MLB4750056848,5.0
385-2,-,-,1.0
385-3,-,-,1.0
385-4,-,-,1.0
391,MLB2612422816,MLB2612422816|MLB2612440458|MLB3509386405|MLB3944426609,4.0
392-1,,,
392-2,,,
392-K,,,
393-1,,,
393-2,,,
394-1,,,
394-2,,,
395,,,
396,MLB2676804176,MLB2676804176|MLB2676834764|MLB2676847030|MLB3604183763|MLB3747794275,5.0
397,MLB2662064371,MLB2662064371|MLB2662070649|MLB3651679373,3.0
398,MLB2661398753,MLB2661398753|MLB2661418026|MLB2661418027|MLB3349539231|MLB4503499410,5.0
399,,,
4-1,,,
4-2,,,
401,MLB2665950771,MLB2665950771|MLB2665997871,2.0
402,,,
403,,,
405,MLB2665560176,MLB2665560176|MLB2665578070|MLB3379860753|MLB5414540178,4.0
406,MLB2674654660,MLB2674654660|MLB2674693047|MLB2674699533|MLB3355603269,4.0
407,,,
408,MLB2744552225,MLB2744552225|MLB3539262044|MLB4771509154,3.0
410,MLB2798849114,MLB2798849114|MLB2798920215|MLB2798936606|MLB3596306433,4.0
411,MLB2891461901,MLB2891461901|MLB2891603596|MLB2891603600|MLB3042535174|MLB3042634461|MLB3571999085,6.0
412,,,
412-1,-,-,1.0
412-2,-,-,1.0
412-22,-,-,1.0
412-3,-,-,1.0
412-4,-,-,1.0
412-44,-,-,1.0
412-5,-,-,1.0
412-55,-,-,1.0
412-6,-,-,1.0
412-7,-,-,1.0
412-8,-,-,1.0
412-9,-,-,1.0
413,,,
413,,,
415,MLB3343874347,MLB3343874347|MLB3343944605|MLB4657518424|MLB4657555476|MLB4657581472,5.0
416,MLB3021620072,MLB3021620072|MLB3021620083|MLB3050000331,3.0
417,MLB3254083015,MLB3254083015|MLB3269670502|MLB3269880568|MLB3958965489|MLB4190741461|MLB4297486130,6.0
417-2,,,
419-1,,,
419-2,,,
419-K,,,
420,,,
421,,,
422,,,
422-K,,,
423,,,
423-2,,,
425,,,
425-1,MLB4049706672,MLB4049706672|MLB4049731872|MLB4049732004|MLB4049767680,4.0
425-2,,,
426-1,-,-,1.0
426-2,-,-,1.0
426-K,MLB3502508943,MLB3502508943|MLB3502509157|MLB4183515444|MLB4183515600|MLB4183547432,5.0
427,MLB3502651701,MLB3502651701|MLB3502651779|MLB4183842990|MLB4183869070,4.0
428-1,-,-,1.0
428-2,-,-,1.0
428-K,MLB4179265284,MLB4179265284|MLB4179300472|MLB4179310894|MLB4179312144,4.0
429,,,
430,MLB3502691741,MLB3502691741|MLB3502691867|MLB3502716727|MLB4184011272|MLB4955974440,5.0
431,,,
432,,,
433-1,,,
433-2,,,
434,,,
435-1,,,
435-2,,,
435-K,,,
436,,,
436-1,-,-,1.0
436-2,-,-,1.0
436-3,-,-,1.0
436-4,-,-,1.0
437,,,
438,,,
439,,,
044,,,
44-1,,,
44-K,,,
44-K4,,,
44-K6,,,
440,,,
441,,,
442,,,
443,MLB5185955128,MLB5185955128,1.0
444-1-K,,,
444-2-K,,,
444-K2-1,,,
444-K3,,,
444-K3-1,,,
444-K3-2,,,
445,,,
446,MLB3902435207,MLB3902435207|MLB3967142419|MLB5166616316|MLB5166616368,4.0
447,,,
448,,,
449-1,MLB4540101233,MLB4540101233|MLB4540104563|MLB6477438106|MLB6477590784|MLB6477646248,5.0
449-2,,,
449-K,MLB4944444726,MLB4944444726|MLB4944482982,2.0
450,MLB3790875155,MLB3790875155|MLB3790877175|MLB4090357929,3.0
451,,,
451-1,-,-|MLB4000715459|MLB4000895541,3.0
451-2,-,-|MLB3998163089,2.0
451-K,MLB3792233449,MLB3792233449|MLB3999326941|MLB4939545646|MLB4939557412,4.0
452,MLB3783467275,MLB3783467275|MLB3833309681|MLB4936573640,3.0
453,,,
454,MLB4192475945,MLB4192475945|MLB5530093628|MLB5671293580|MLB5671294838,4.0
455-1,,,
455-2,,,
455-K,,,
456,MLB3840995325,MLB3840995325|MLB5054931426|MLB5054983076|MLB5055031430,4.0
457,,,
457-1,,,
457-2,MLB3789242767,MLB3789242767,1.0
458-1,MLB4913278978,MLB4913278978|MLB4942976702|MLB4943028012|MLB4943054490,4.0
458-2,MLB3884217515,MLB3884217515|MLB3884242075|MLB5997259200,3.0
458-3,,,
458-K,,,
458-K3,,,
459,MLB3913287197,MLB3913287197|MLB3913396243|MLB3913408297|MLB5187032368,4.0
046,MLB1987804808,MLB1987804808|MLB1987804809|MLB2928466676|MLB2928632506|MLB3465314544,5.0
460,,,
461,,,
462,,,
463,,,
464,,,
464-K,,,
464-K10,,,
464-K3,,,
464-K5,,,
465,,,
467,,,
468,,,
469,,,
047,MLB1987808419,MLB1987808419,1.0
471,,,
472,,,
473,,,
474,,,
475,,,
476,,,
477,,,
478,,,
479,,,
480,,,
481,,,
482,,,
484-1,,,
484-2,,,
487,,,
488,,,
489,,,
049,,,
490,,,
491,,,
492,,,
493,,,
495,,,
496,,,
498,,,
499,,,
005,MLB1984903133,MLB1984903133|MLB1984905629|MLB2931735593,3.0
500,,,
501,,,
502,,,
503-1,,,
503-2,,,
503-3,,,
503-4,,,
504,,,
505,,,
506,,,
507,,,
508,,,
509,,,
511,,,
512-K,,,
513-K,,,
514,,,
515,,,
516-K,,,
517-K,,,
518-K,,,
519,,,
052,MLB1987802723,MLB1987802723|MLB1987809522|MLB4104078305|MLB4335219706,4.0
52-1,MLB4761872520,MLB4761872520|MLB4762006540,2.0
520-1,,,
520-2,,,
520-3,,,
521,,,
053,MLB2043212082,MLB2043212082|MLB2043231421|MLB2928702784|MLB2928792686|MLB2928799512,5.0
055,,,
059,MLB2049037465,MLB2049037465|MLB2049089564|MLB2981545786|MLB2981782049|MLB4445536326,5.0
060,,,
60-K4,,,
061,MLB2026743334,MLB2026743334|MLB3557236595|MLB3557326171|MLB5720915150,4.0
